File Name,Component RT,Compound Name,CAS#,Component RI,Component Area,Formula,Match Factor
4-1.D,31.940800882022,Pentanoic acid,109-52-4,1737.88709871228,4901720.25175315,C5H10O2,95.5826083952838
4-2.D,31.9409556825069,Pentanoic acid,109-52-4,1737.89402552832,4515448.03019365,C5H10O2,95.8199833777444
6-1.D,31.9412042281755,Pentanoic acid,109-52-4,1737.90514713511,3369054.57072321,C5H10O2,95.4232940957202
5-2.D,31.9424208282498,Pentanoic acid,109-52-4,1737.9595860144,2554224.06854867,C5H10O2,88.1594420003774
4-1.D,31.9426215646626,"Oxime-, methoxy-phenyl-_",1000222-86-6,1737.96856831317,10555980.6621931,C8H9NO2,78.1506662511514
5-1.D,31.9448186016719,Pentanoic acid,109-52-4,1738.06687854269,2617000.87299501,C5H10O2,89.179621505955
5-3.D,31.9448520949505,Pentanoic acid,109-52-4,1738.0683772575,2474025.43952055,C5H10O2,87.581158670666
3-3.D,31.9470352921163,Pentanoic acid,109-52-4,1738.16606819923,3404859.81252916,C5H10O2,90.7113570637295
3-2.D,31.947244603935,Pentanoic acid,109-52-4,1738.17543421939,3280801.04574892,C5H10O2,85.3217445915796
3-1.D,31.9495466428547,Pentanoic acid,109-52-4,1738.27844294141,3282567.68335905,C5H10O2,85.3851349280895
3-2.D,31.9513545559851,"Oxime-, methoxy-phenyl-_",1000222-86-6,1738.35934114843,12860124.0111983,C8H9NO2,85.8308999745825
3-3.D,31.952188883395,"Oxime-, methoxy-phenyl-_",1000222-86-6,1738.39667457468,12881936.1576908,C8H9NO2,84.4305254722998
3-1.D,31.9532139673009,"Oxime-, methoxy-phenyl-_",1000222-86-6,1738.44254373102,12116362.1405511,C8H9NO2,84.2864251192726
1-1.D,31.953821081706,"Oxime-, methoxy-phenyl-_",1000222-86-6,1738.4697101175,10773972.7305471,C8H9NO2,86.4910500179033
1-2.D,31.9541288284849,"Oxime-, methoxy-phenyl-_",1000222-86-6,1738.4834807806,12199548.0498241,C8H9NO2,86.9877858245713
1-3.D,31.9549186963852,"Oxime-, methoxy-phenyl-_",1000222-86-6,1738.51882478903,12287313.6514617,C8H9NO2,86.9866082940524
