File Name,Component RT,Compound Name,CAS#,Component RI,Component Area,Formula,Match Factor
6-1.D,1.63074513539592,"4-tert-Octylphenol, TMS derivative",78721-87-6,305.380376853223,24988.6110681125,C17H30OSi,76.0475004845326
5-3.D,4.67931529520733,Nitrous oxide,10024-97-2,614.597352186564,2924885.815499,N2O,78.8519646139607
6-2.D,4.68024962282546,Nitrous oxide,10024-97-2,614.692121191344,2594600.50275779,N2O,79.9871958988995
4-2.D,4.68087165243915,Nitrous oxide,10024-97-2,614.755213757901,2281691.78431089,N2O,81.6698679260862
6-1.D,4.68108336686786,Nitrous oxide,10024-97-2,614.776687987408,2928563.44895387,N2O,81.2997084399093
5-1.D,4.68130097407974,Nitrous oxide,10024-97-2,614.798759922886,3088150.05347818,N2O,79.8263308087692
1-3.D,4.68204796539743,Nitrous oxide,10024-97-2,614.874527375741,1918314.81021268,N2O,81.4960236958188
6-3.D,4.68209978961831,Nitrous oxide,10024-97-2,614.879783915033,2593128.81760213,N2O,81.0197133655787
3-1.D,4.68297059306735,Nitrous oxide,10024-97-2,614.96810965284,2187192.05201833,N2O,82.1012407827222
2-1.D,4.68302006296945,Nitrous oxide,10024-97-2,614.973127393189,2279720.01509955,N2O,80.4958351800257
4-3.D,4.68308246636015,Nitrous oxide,10024-97-2,614.979456979425,2259723.57152187,N2O,80.4327748376725
2-2.D,4.68324037098513,Nitrous oxide,10024-97-2,614.995473271643,2368817.65135419,N2O,79.5082458318562
1-2.D,4.68357039320784,Nitrous oxide,10024-97-2,615.028947480256,1931645.15605365,N2O,82.7630919462005
3-3.D,4.68357698035479,Nitrous oxide,10024-97-2,615.02961561566,2328743.24718618,N2O,80.2073638306186
4-1.D,4.68403607647742,Nitrous oxide,10024-97-2,615.076181811281,2490958.7008859,N2O,80.4227059514243
3-2.D,4.68404170709484,Nitrous oxide,10024-97-2,615.076752925737,2290964.26272744,N2O,80.6990997266548
2-3.D,4.6844434176903,Nitrous oxide,10024-97-2,615.11749849785,2327516.13786724,N2O,80.4747399271191
1-1.D,4.68449333981674,Nitrous oxide,10024-97-2,615.122562107388,1684224.76281063,N2O,83.9126602205802
5-2.D,4.68451090996374,(2-Aziridinylethyl)amine,4025-37-0,615.124344250303,2957058.25225957,C4H10N2,86.0590339411382
5-3.D,4.80774094598845,Hydrogen isocyanate,75-13-8,627.623587178055,145929.295874804,CHNO,77.1172405438392
5-1.D,4.80859646482785,Hydrogen isocyanate,75-13-8,627.71036259538,135385.613108034,CHNO,77.3511326957951
4-2.D,4.80892935765989,Hydrogen isocyanate,75-13-8,627.744127970371,109730.015602721,CHNO,80.8387057194248
6-1.D,4.80904330086216,Hydrogen isocyanate,75-13-8,627.755685248216,110471.746080286,CHNO,80.4871254429216
4-3.D,4.8114461102689,Hydrogen isocyanate,75-13-8,627.999402603601,101697.492969538,CHNO,78.8683514400122
5-2.D,4.81245460176125,Hydrogen isocyanate,75-13-8,628.101694062404,151645.809513229,CHNO,78.1419120794703
6-2.D,5.36058374672234,Methanethiol,74-93-1,683.698523858641,876729.32932984,CH4S,96.2386853986591
6-1.D,5.36072860278787,Methanethiol,74-93-1,683.713216633317,803300.938434066,CH4S,97.9996722384421
5-3.D,5.36076443978495,Methanethiol,74-93-1,683.716851585856,459334.4826783,CH4S,98.0658705633545
6-3.D,5.36122810410538,Methanethiol,74-93-1,683.763881134535,794871.871652613,CH4S,98.0980575457857
5-1.D,5.36144127479026,Methanethiol,74-93-1,683.785503072346,425167.275566185,CH4S,97.5322428622774
4-2.D,5.36147744450082,Methanethiol,74-93-1,683.789171772069,788375.539753335,CH4S,98.0681175638501
4-3.D,5.36341273140784,Methanethiol,74-93-1,683.98546824301,822188.010688569,CH4S,98.0734241038771
2-1.D,5.36388321340401,Methanethiol,74-93-1,684.033189309667,81895.4748891012,CH4S,91.5561437005566
5-2.D,5.36391930704364,Methanethiol,74-93-1,684.036850293502,463683.394668697,CH4S,94.9603158823135
2-2.D,5.36405821746231,Methanethiol,74-93-1,684.050940000235,75906.0389261943,CH4S,91.5967556970839
1-3.D,5.36448054184946,Methanethiol,74-93-1,684.093776432646,142108.627106424,CH4S,91.3681436352655
1-2.D,5.36492272921033,Methanethiol,74-93-1,684.138627569767,135097.812683061,CH4S,91.4298854336162
3-2.D,5.3655700850835,Methanethiol,74-93-1,684.204288983011,115146.622626001,CH4S,91.4353505106583
3-1.D,5.3658655156133,Methanethiol,74-93-1,684.234254550492,131183.924087071,CH4S,91.4419070678584
4-1.D,5.36615402944415,Methanethiol,74-93-1,684.263518556056,816408.12955096,CH4S,98.0667418227068
3-3.D,5.36653177083752,Methanethiol,74-93-1,684.301832928037,115472.34271302,CH4S,91.4229291276979
2-3.D,5.36653255431991,Methanethiol,74-93-1,684.301912396785,85689.060470955,CH4S,91.4205005081758
1-1.D,5.36813309029901,Methanethiol,74-93-1,684.464255025764,150519.013248552,CH4S,91.4439054654076
5-3.D,5.46776672524603,Heptane,142-82-5,694.570111090986,529245.631282991,C7H16,94.944938576808
6-2.D,5.46846257489462,Heptane,142-82-5,694.640691235889,373441.015548197,C7H16,95.1981693355416
4-2.D,5.46900404572523,Heptane,142-82-5,694.695612711759,439146.661728095,C7H16,95.4984941496819
6-1.D,5.46948280549379,Heptane,142-82-5,694.744173394238,391022.515078821,C7H16,95.1718520130355
5-1.D,5.46949211651335,Heptane,142-82-5,694.745117812491,391757.110514271,C7H16,87.3486709520888
6-3.D,5.46976516315047,Heptane,142-82-5,694.772812978038,372965.200586126,C7H16,95.3708561343455
1-3.D,5.47073469781461,Heptane,142-82-5,694.871153039315,165027.83119611,C7H16,83.5182416539198
4-3.D,5.47098456269422,Heptane,142-82-5,694.896496875364,437010.751311072,C7H16,95.4886468354987
3-1.D,5.47105941855795,Heptane,142-82-5,694.904089517999,333152.746747286,C7H16,87.5597206251411
3-3.D,5.47182000342163,Heptane,142-82-5,694.98123576647,334018.301742611,C7H16,87.2226206618531
2-2.D,5.47188328265919,Heptane,142-82-5,694.987654189998,317755.695209281,C7H16,87.9152990247892
5-2.D,5.47214382092443,Heptane,142-82-5,695.014080629316,453050.869218162,C7H16,87.6032061368213
3-2.D,5.47246571237417,Heptane,142-82-5,695.046730132282,309055.503992596,C7H16,87.9505756204208
2-3.D,5.47302944904957,Heptane,142-82-5,695.103910036471,290817.36546789,C7H16,87.869463030496
4-1.D,5.47338485329012,Heptane,142-82-5,695.139958747349,467485.587209807,C7H16,94.8884401050885
6-2.D,5.51626145539054,Acetaldehyde,75-07-0,699.488939587234,1415817.74123529,C2H4O,87.3774676478684
6-2.D,5.5163513304402,Ethylene oxide,75-21-8,699.49805562838,931828.717740035,C2H4O,95.9581520811749
5-3.D,5.51643600911235,Ethylene oxide,75-21-8,699.506644600097,886367.262466123,C2H4O,93.9932669320506
5-3.D,5.51670722674827,Heptane,142-82-5,699.534154249748,1874737.95903043,C7H16,77.9478263021362
4-2.D,5.51729302497372,Heptane,142-82-5,699.593571860606,1863908.97895362,C7H16,77.4316924573038
4-2.D,5.51745101474611,Ethylene oxide,75-21-8,699.609596789341,884909.120948461,C2H4O,95.9878111794265
6-3.D,5.51761779005482,Acetaldehyde,75-07-0,699.626512836477,1462290.47180639,C2H4O,80.544860564153
6-1.D,5.5176231107475,Acetaldehyde,75-07-0,699.627052515215,1452648.3842503,C2H4O,83.350022625098
6-1.D,5.51777375985642,Ethylene oxide,75-21-8,699.642332879239,883679.000780842,C2H4O,95.891343754099
6-3.D,5.51779561593377,Ethylene oxide,75-21-8,699.644549744778,881601.889694809,C2H4O,96.0420176320185
5-1.D,5.51819598202328,Ethylene oxide,75-21-8,699.68515894343,887492.721922135,C2H4O,95.9584848211213
2-1.D,5.51939192581135,Ethylene oxide,75-21-8,699.806463719581,1024032.79186543,C2H4O,95.7641459784779
3-1.D,5.51969692434301,Ethylene oxide,75-21-8,699.837399771074,886485.491455214,C2H4O,95.9312383674191
4-3.D,5.51970992138207,Acetaldehyde,75-07-0,699.838718062893,1637755.06268895,C2H4O,76.7792322614332
4-3.D,5.51998457203879,Ethylene oxide,75-21-8,699.866575924413,887169.855290287,C2H4O,94.0076193890741
1-3.D,5.52010490747098,Ethylene oxide,75-21-8,699.878781567195,684354.567058758,C2H4O,95.9781635300554
3-3.D,5.52018526654278,Ethylene oxide,75-21-8,699.886932401134,879707.64921198,C2H4O,95.9992023976762
2-2.D,5.52023353197203,Ethylene oxide,75-21-8,699.891827971603,984344.730873061,C2H4O,96.0142206337167
4-1.D,5.52040778052219,Ethylene oxide,75-21-8,699.909502030854,988827.742942253,C2H4O,94.0588545625281
