File Name,Component RT,Compound Name,CAS#,Component Area,Formula,Match Factor,Component RI
Aut-D129-0606.D,0.106845534197271,Dimethylamine,124-40-3,38679.7381742276,C2H7N,81.0320906246384,138.564664103275
194-1.D,0.13216500560141,Nitrous oxide,10024-97-2,3398.66890409314,N2O,83.674039620579,140.95645244676
462-2.D,4.56044065154989,Ethyl orthoformate,122-51-0,8129.67368174271,C7H16O3,75.7818668156202,559.270796481191
99-2.D,4.76737462496601,(2-Aziridinylethyl)amine,4025-37-0,723751.003048532,C4H10N2,76.7380594613424,578.818687414132
129-3.D,4.76740918382901,(2-Aziridinylethyl)amine,4025-37-0,584651.388258958,C4H10N2,79.1177714315132,578.821951995939
194-3.D,4.767502944194,(2-Aziridinylethyl)amine,4025-37-0,757178.672567643,C4H10N2,78.8770316682098,578.830809011336
99-3.D,4.76762988774374,(2-Aziridinylethyl)amine,4025-37-0,575071.091230304,C4H10N2,76.520261881929,578.842800655936
164-1.D,4.76763784576593,(2-Aziridinylethyl)amine,4025-37-0,746566.637083886,C4H10N2,78.7789437884971,578.843552405623
164-3.D,4.76768315561035,(2-Aziridinylethyl)amine,4025-37-0,666467.844689995,C4H10N2,79.0153855808979,578.847832572299
194-2.D,4.76769775597541,(2-Aziridinylethyl)amine,4025-37-0,869993.339273357,C4H10N2,76.5225678270978,578.849211786832
129-2.D,4.76783881845303,(2-Aziridinylethyl)amine,4025-37-0,697756.791765157,C4H10N2,76.5982006251041,578.862537167299
Aut-D129-0605.D,4.76784311671788,(2-Aziridinylethyl)amine,4025-37-0,1000610.44364252,C4H10N2,76.7059413187231,578.862943200253
68-1.D,4.76787729080803,(2-Aziridinylethyl)amine,4025-37-0,669835.885447111,C4H10N2,85.3861399726318,578.866171434728
68-2.D,4.76799961835007,(2-Aziridinylethyl)amine,4025-37-0,701567.555438672,C4H10N2,81.082464544784,578.877727030991
60-2.D,4.76802710259782,(2-Aziridinylethyl)amine,4025-37-0,727927.383865094,C4H10N2,81.3725966620541,578.880323313605
68-3.D,4.76804715765559,(2-Aziridinylethyl)amine,4025-37-0,597012.193102549,C4H10N2,76.6902613717268,578.882217802342
129-1.D,4.7681205154056,Nitrous oxide,10024-97-2,696461.208356779,N2O,81.6695945709635,578.889147497223
194-1.D,4.76814959916851,(2-Aziridinylethyl)amine,4025-37-0,866953.226882206,C4H10N2,76.6504449599595,578.891894877055
164-2.D,4.76815595241305,(2-Aziridinylethyl)amine,4025-37-0,773185.353746071,C4H10N2,81.8883777228624,578.892495032406
99-1.D,4.7681870290149,(2-Aziridinylethyl)amine,4025-37-0,677245.027425749,C4H10N2,84.5142365580193,578.895430664547
60-1.D,4.76820408187573,(2-Aziridinylethyl)amine,4025-37-0,664489.159143731,C4H10N2,76.682716254767,578.897041552591
60-3.D,4.76828460411768,Nitrous oxide,10024-97-2,633830.84542272,N2O,79.4079670231196,578.904648036811
432-2.D,4.76889502187286,(2-Aziridinylethyl)amine,4025-37-0,1180125.22876193,C4H10N2,81.2041673703293,578.962310775823
462-1.D,4.7689978436861,(2-Aziridinylethyl)amine,4025-37-0,1219944.65238953,C4H10N2,81.1138757340069,578.972023775373
240-3.D,4.76902749861225,(2-Aziridinylethyl)amine,4025-37-0,1003231.4657417,C4H10N2,80.2742783051999,578.974825109791
340-3.D,4.76929016017704,(2-Aziridinylethyl)amine,4025-37-0,1256256.04772505,C4H10N2,80.9477425380472,578.999637273478
240-2.D,4.76930173449163,(2-Aziridinylethyl)amine,4025-37-0,866419.319147695,C4H10N2,76.5250235675518,579.00073063401
340-1.D,4.7695056621952,(2-Aziridinylethyl)amine,4025-37-0,1228467.89693768,C4H10N2,78.6884273018972,579.019994539505
278-3.D,4.76951467004859,(2-Aziridinylethyl)amine,4025-37-0,1227920.10869817,C4H10N2,78.9368020330597,579.020845460853
278-2.D,4.76959797350152,(2-Aziridinylethyl)amine,4025-37-0,1250814.14791055,C4H10N2,78.8081555237129,579.028714670463
432-1.D,4.7696515516255,(2-Aziridinylethyl)amine,4025-37-0,1207464.77917539,C4H10N2,80.9972148663857,579.033775895097
432-3.D,4.76977014223571,(2-Aziridinylethyl)amine,4025-37-0,1208462.50076111,C4H10N2,81.2405913234519,579.044978484386
397-1.D,4.76983929613906,(2-Aziridinylethyl)amine,4025-37-0,1283044.08432822,C4H10N2,82.2070601600838,579.05151106547
310-1.D,4.76990234950684,(2-Aziridinylethyl)amine,4025-37-0,1302428.63777485,C4H10N2,81.2690348431587,579.057467363201
240-1.D,4.76991915652779,(2-Aziridinylethyl)amine,4025-37-0,964636.280737635,C4H10N2,76.4353204583336,579.05905502813
Aut-D129-0606.D,4.76995979319543,(2-Aziridinylethyl)amine,4025-37-0,588359.568710802,C4H10N2,76.6669412085317,579.062893746026
310-3.D,4.77009901339725,(2-Aziridinylethyl)amine,4025-37-0,1072319.48095269,C4H10N2,78.7868059555296,579.076045097038
397-2.D,4.77014926629692,(2-Aziridinylethyl)amine,4025-37-0,1202077.63575393,C4H10N2,81.1528656039834,579.080792206397
340-2.D,4.7701920631522,(2-Aziridinylethyl)amine,4025-37-0,1232483.13701395,C4H10N2,81.2791858555294,579.084834985093
462-2.D,4.77023667547941,(2-Aziridinylethyl)amine,4025-37-0,1234245.98610292,C4H10N2,84.7734720462833,579.089049261233
462-3.D,4.77026536043821,(2-Aziridinylethyl)amine,4025-37-0,1075542.310087,C4H10N2,78.8689308716402,579.09175896828
397-3.D,4.77026897966494,(2-Aziridinylethyl)amine,4025-37-0,1181965.80769897,C4H10N2,82.7998223218056,579.092100856313
310-2.D,4.77029753688213,(2-Aziridinylethyl)amine,4025-37-0,1168243.0439367,C4H10N2,78.5536765024643,579.094798496328
278-1.D,4.7706053461556,(2-Aziridinylethyl)amine,4025-37-0,1091739.38965305,C4H10N2,82.1625484609971,579.123875510636
99-1.D,4.97462178007148,Methyl fluoride,593-53-3,94986.3802372648,CH3F,79.1643612880992,598.396162863356
278-1.D,4.97623348011322,Methyl fluoride,593-53-3,83910.5046640293,CH3F,77.5020269850932,598.548411119707
397-3.D,4.97655720803117,Methyl fluoride,593-53-3,99155.8167608142,CH3F,83.1642793821534,598.578991879007
240-2.D,4.97662324087079,Methyl fluoride,593-53-3,10750.6425505282,CH3F,75.4935406933939,598.585229630719
432-2.D,4.97689498858002,Methyl fluoride,593-53-3,87222.68532144,CH3F,78.1448611027692,598.610900111469
Aut-D129-0605.D,5.13560826668046,.alpha.-Amino-.gamma.-butyrolactone,1192-20-7,10981.3747564152,C4H7NO2,82.5141373666656,613.603652624264
Aut-D129-0606.D,5.14294202626792,"Methane, isocyanato-",624-83-9,4059.6272964364,C2H3NO,82.0840567780948,614.296431727557
99-1.D,5.29406847261535,"Disiloxane, hexamethyl-",107-46-0,15085.6169155256,C6H18OSi2,83.1323837095925,628.572498830091
60-2.D,5.29425433892369,"Disiloxane, hexamethyl-",107-46-0,13596.1276029507,C6H18OSi2,83.1279037413298,628.590056576959
194-2.D,5.29429049794102,"Disiloxane, hexamethyl-",107-46-0,13135.2729910725,C6H18OSi2,82.1469414805291,628.593472316363
194-1.D,5.29475847362981,"Disiloxane, hexamethyl-",107-46-0,14499.492097542,C6H18OSi2,80.6639805480096,628.637679352901
68-1.D,5.29482499927122,"Disiloxane, hexamethyl-",107-46-0,15622.6669932102,C6H18OSi2,83.0425978290228,628.643963656831
129-1.D,5.29488610828165,"Disiloxane, hexamethyl-",107-46-0,18020.9566523406,C6H18OSi2,84.0819842070853,628.649736282037
462-2.D,5.29576205924783,"Methanone, (2,3-dihydro-5-benzofuryl)(4-morpholyl)-",1000268-71-6,7918.0189356562,C13H15NO3,77.4603969326215,628.732482453035
99-2.D,5.29577012921283,"Disiloxane, hexamethyl-",107-46-0,17685.3561649533,C6H18OSi2,84.8751616725347,628.733244777331
164-3.D,5.29793831038446,"Methanone, (2,3-dihydro-5-benzofuryl)(4-morpholyl)-",1000268-71-6,7656.52831587785,C13H15NO3,78.2505806043254,628.938060682455
432-3.D,5.2985609588076,"Methanone, (2,3-dihydro-5-benzofuryl)(4-morpholyl)-",1000268-71-6,5428.45555489797,C13H15NO3,81.6765082172261,628.996878784017
Aut-D129-0605.D,5.52721471325277,Methanethiol,74-93-1,211464.022795131,CH4S,96.6360615139615,650.596515516037
194-2.D,5.52793115912187,Methanethiol,74-93-1,195542.241691303,CH4S,96.581106362934,650.664194135828
99-2.D,5.52824137429478,Methanethiol,74-93-1,190579.259936748,CH4S,96.2323383298423,650.693498421951
164-1.D,5.52892158201751,Methanethiol,74-93-1,191897.467066228,CH4S,98.2110592450199,650.757753827462
164-2.D,5.52905749542355,Methanethiol,74-93-1,195974.359443798,CH4S,96.5933901367864,650.770592804039
194-3.D,5.52913482581409,Methanethiol,74-93-1,156564.020655651,CH4S,93.4574460033197,650.777897771971
60-3.D,5.52913674841195,Methanethiol,74-93-1,144322.367861607,CH4S,96.601865132264,650.778079389
60-2.D,5.52923406863931,Methanethiol,74-93-1,138301.781281735,CH4S,93.4705332514541,650.787272684613
99-3.D,5.52924095810207,Methanethiol,74-93-1,132405.396810456,CH4S,93.4612003751716,650.787923493489
432-3.D,5.52925144061469,Methanethiol,74-93-1,350723.494261202,CH4S,97.8197456006382,650.788913717616
194-1.D,5.52927544200672,Methanethiol,74-93-1,186417.278311242,CH4S,98.0920950069444,650.7911809944
340-1.D,5.52928120517358,Methanethiol,74-93-1,338973.746733372,CH4S,98.2166716431226,650.791725408424
129-2.D,5.52936295257989,Methanethiol,74-93-1,189357.99086415,CH4S,96.6094831801071,650.799447627044
129-1.D,5.52948781364648,Methanethiol,74-93-1,156286.426932028,CH4S,95.0502466181993,650.81124255115
340-2.D,5.52950589751226,Methanethiol,74-93-1,293689.09350828,CH4S,97.9412856401947,650.812950832445
462-2.D,5.52962061320024,Methanethiol,74-93-1,295287.973921607,CH4S,98.2073895300879,650.823787379581
164-3.D,5.52965944466404,Methanethiol,74-93-1,157705.705195912,CH4S,93.4519529321001,650.827455570002
129-3.D,5.52966554745367,Methanethiol,74-93-1,152397.243158416,CH4S,96.6114498049421,650.828032066283
68-2.D,5.52971452131687,Methanethiol,74-93-1,162583.328039611,CH4S,96.5497384810885,650.832658352245
462-1.D,5.52979082050734,Methanethiol,74-93-1,296259.702925835,CH4S,98.1799132138019,650.839865908496
60-1.D,5.53000191374827,Methanethiol,74-93-1,147393.416929264,CH4S,93.4483527257914,650.859806702085
432-1.D,5.53004254768245,Methanethiol,74-93-1,311785.992389946,CH4S,98.1293732510031,650.863645161765
397-2.D,5.53005048940741,Methanethiol,74-93-1,348950.629850587,CH4S,98.0593058650262,650.864395371945
397-3.D,5.53017430242117,Methanethiol,74-93-1,308226.658650021,CH4S,98.2115287170745,650.876091292383
462-3.D,5.53022264369074,Methanethiol,74-93-1,253979.882468822,CH4S,98.297994150335,650.880657820777
397-1.D,5.53024570991023,Methanethiol,74-93-1,370102.118757391,CH4S,98.0636371144438,650.882836757059
310-1.D,5.53027645294631,Methanethiol,74-93-1,350574.227979391,CH4S,98.3555785740203,650.885740879115
278-3.D,5.5303601044628,Methanethiol,74-93-1,418996.69612892,CH4S,98.1057653617796,650.893642968335
278-2.D,5.53037720126716,Methanethiol,74-93-1,415166.680057076,CH4S,98.320734667602,650.895258007478
340-3.D,5.53040200590786,Methanethiol,74-93-1,308059.973203936,CH4S,98.0747028296098,650.897601162654
432-2.D,5.53056344886337,Methanethiol,74-93-1,319529.399044355,CH4S,98.1851527124179,650.91285177247
278-1.D,5.53119937385511,Methanethiol,74-93-1,368385.196082354,CH4S,98.1164284111877,650.972924036946
240-2.D,5.53134477087796,Methanethiol,74-93-1,218176.303478354,CH4S,96.435838056045,650.986658877571
99-1.D,5.5317138125919,Methanethiol,74-93-1,147043.959103578,CH4S,96.5962798760435,651.021520176828
310-3.D,5.53177453400145,Methanethiol,74-93-1,258377.17390607,CH4S,98.3701893822664,651.027256187554
68-1.D,5.53189327255626,Methanethiol,74-93-1,136966.577842031,CH4S,96.6270862035287,651.038472752339
310-2.D,5.53191409964972,Methanethiol,74-93-1,374306.476321578,CH4S,98.0273090156374,651.040440170954
240-3.D,5.53191620892975,Methanethiol,74-93-1,239446.349902134,CH4S,98.10883109181,651.040639422799
240-1.D,5.53208010628053,Methanethiol,74-93-1,241958.857405563,CH4S,96.631537519524,651.056121885559
68-3.D,5.53221591473246,Methanethiol,74-93-1,145800.380828223,CH4S,96.5199277486245,651.06895094771
Aut-D129-0606.D,5.5328072882581,Methanethiol,74-93-1,178678.996921627,CH4S,96.5408140215935,651.124814685254
Aut-D129-0605.D,5.69807943756275,Acetaldehyde,75-07-0,379008.089697134,C2H4O,99.4832598528281,666.737146945282
99-3.D,5.69860590592416,Acetaldehyde,75-07-0,1357905.14004013,C2H4O,98.9316088236678,666.786879456278
129-3.D,5.69883239013498,Acetaldehyde,75-07-0,1184375.04882959,C2H4O,98.887456203934,666.808274148401
68-3.D,5.69913257891873,Acetaldehyde,75-07-0,1590783.20912036,C2H4O,99.6332046067366,666.83663129782
60-3.D,5.69921916097147,Acetaldehyde,75-07-0,1774160.50345581,C2H4O,99.5077600156416,666.844810218352
60-2.D,5.69954828818361,Acetaldehyde,75-07-0,1099564.69057883,C2H4O,99.0559522530519,666.875901018667
60-1.D,5.69959605806051,Acetaldehyde,75-07-0,1354112.20838314,C2H4O,99.406401641037,666.880413570802
99-2.D,5.69971897094061,Acetaldehyde,75-07-0,818778.393341185,C2H4O,99.1246510783425,666.892024460666
99-1.D,5.69972292639245,Acetaldehyde,75-07-0,1019329.5220699,C2H4O,99.505102279373,666.892398109999
68-1.D,5.6998196425199,Acetaldehyde,75-07-0,1237834.09061506,C2H4O,99.4674495923135,666.901534339684
68-2.D,5.69999231403738,Acetaldehyde,75-07-0,962095.902324869,C2H4O,99.0083696731182,666.917845648723
164-1.D,5.70023122494755,Acetaldehyde,75-07-0,544460.203978186,C2H4O,99.1549591552843,666.940414221382
129-2.D,5.7005662076943,Acetaldehyde,75-07-0,795595.451377678,C2H4O,99.1424735114609,666.972058161184
129-1.D,5.70057406067298,Acetaldehyde,75-07-0,870584.576935193,C2H4O,99.8426515971164,666.972799988001
164-3.D,5.70067008516418,Acetaldehyde,75-07-0,685283.235083612,C2H4O,99.143405642341,666.981870882692
194-2.D,5.70094087293574,Acetaldehyde,75-07-0,381782.25482967,C2H4O,99.1429157339779,667.00745068352
194-3.D,5.70106663489427,Acetaldehyde,75-07-0,378780.675394711,C2H4O,99.0803077843706,667.019330709831
397-3.D,5.70108370402188,Acetaldehyde,75-07-0,397487.423307773,C2H4O,99.1220445679251,667.020943134506
240-1.D,5.70118295174537,Acetaldehyde,75-07-0,257108.567136389,C2H4O,96.9461372093141,667.030318509859
462-3.D,5.70122711195072,Acetaldehyde,75-07-0,405429.706290081,C2H4O,99.1044223737371,667.034490076584
164-2.D,5.70123304792679,Acetaldehyde,75-07-0,495400.786792567,C2H4O,99.4971353546549,667.035050814924
340-1.D,5.70130257721753,Acetaldehyde,75-07-0,478508.35501428,C2H4O,98.9950664646331,667.041618856747
Aut-D129-0606.D,5.70140698652828,Acetaldehyde,75-07-0,548104.423065121,C2H4O,98.8865306785853,667.051481818277
278-2.D,5.70148714951063,Acetaldehyde,75-07-0,583101.56407928,C2H4O,96.9417445761513,667.059054365258
462-2.D,5.70150998559108,Acetaldehyde,75-07-0,387455.607945209,C2H4O,99.2488627355388,667.061211561598
278-3.D,5.70165077915625,Acetaldehyde,75-07-0,571481.4266896,C2H4O,96.9450555791719,667.074511539415
310-2.D,5.70169227454061,Acetaldehyde,75-07-0,424199.913646997,C2H4O,96.9499573283526,667.078431375459
194-1.D,5.70181275487093,Acetaldehyde,75-07-0,375671.750919429,C2H4O,99.1124172656831,667.089812476
432-1.D,5.70182638884411,Acetaldehyde,75-07-0,437815.06841818,C2H4O,99.1543096309027,667.091100400918
432-2.D,5.70195836601538,Acetaldehyde,75-07-0,423404.752495889,C2H4O,98.706029975222,667.10356754349
432-3.D,5.70202239293952,Acetaldehyde,75-07-0,403690.46472219,C2H4O,96.8363288830731,667.109615807625
462-1.D,5.70220924071613,Acetaldehyde,75-07-0,387223.818295174,C2H4O,99.1400852901998,667.127266268291
397-2.D,5.70243324497278,Acetaldehyde,75-07-0,412289.623348451,C2H4O,99.1087466329062,667.148426693064
310-1.D,5.70253433652115,Acetaldehyde,75-07-0,417261.593186175,C2H4O,99.1337392327163,667.157976244205
340-3.D,5.70270932785598,Acetaldehyde,75-07-0,442000.957279839,C2H4O,96.5856279574961,667.174506693367
278-1.D,5.70297152935435,Acetaldehyde,75-07-0,499050.507930142,C2H4O,99.5018932522429,667.199275397162
397-1.D,5.70306948027907,Acetaldehyde,75-07-0,397724.437782825,C2H4O,98.7984919341204,667.208528271214
340-2.D,5.70309879965897,Acetaldehyde,75-07-0,416507.200557828,C2H4O,99.1518301314889,667.211297908461
240-2.D,5.70342359449543,Acetaldehyde,75-07-0,274939.57958836,C2H4O,97.306666349048,667.241979453564
310-3.D,5.70362042720151,Acetaldehyde,75-07-0,324226.382673506,C2H4O,97.2778654429139,667.260573134471
240-3.D,5.70944537229879,Acetaldehyde,75-07-0,314863.302845263,C2H4O,97.3087967659589,667.810823001964
432-3.D,5.8687277794725,"Methane-d, trichloro-",865-49-6,2194.89571314078,CDCl3,76.1750854389655,682.857337943747
Aut-D129-0605.D,6.14037962115507,Dimethyl sulfide,75-18-3,24963.9361471827,C2H6S,93.0666000279148,708.518762625645
194-1.D,6.1442622943824,Borane-methyl sulfide complex,13292-87-0,8173.26324776922,C2H9BS,75.8730827054341,708.885536971698
432-2.D,6.14448447266333,Dimethyl sulfide,75-18-3,29906.4687747121,C2H6S,92.8324500897352,708.906524906795
194-2.D,6.14475579343649,Borane-methyl sulfide complex,13292-87-0,9931.5064822093,C2H9BS,76.0106002435863,708.932155057291
60-3.D,6.14492570154837,Dimethyl sulfide,75-18-3,13143.0559208608,C2H6S,84.0762342270072,708.948205322914
397-1.D,6.14539899863151,Dimethyl sulfide,75-18-3,21374.1793643122,C2H6S,93.9171743852394,708.992915041707
60-2.D,6.14586543169525,Dimethyl sulfide,75-18-3,27927.3138232142,C2H6S,91.8741219048704,709.036976355115
60-1.D,6.14659609281591,Dimethyl sulfide,75-18-3,24439.2008111073,C2H6S,92.7024301411117,709.10599780993
432-3.D,6.1467159259562,Dimethyl sulfide,75-18-3,32166.8931029012,C2H6S,91.500870818031,709.11731777406
462-1.D,6.14682713686177,Dimethyl sulfide,75-18-3,62211.875100242,C2H6S,91.4115301925098,709.127823244074
310-2.D,6.1469668156344,Dimethyl sulfide,75-18-3,71505.6476311036,C2H6S,93.8679588200988,709.141017913698
340-3.D,6.1473467049006,Dimethyl sulfide,75-18-3,106669.401988143,C2H6S,96.5219653445055,709.176903920329
462-2.D,6.14768509124882,Dimethyl sulfide,75-18-3,79947.695454219,C2H6S,93.1895055605024,709.208869379257
397-2.D,6.14770382934285,Dimethyl sulfide,75-18-3,20093.5020675753,C2H6S,84.3589060195329,709.210639461822
340-2.D,6.14776647184868,Dimethyl sulfide,75-18-3,98778.4626142036,C2H6S,95.3306128125663,709.216556947731
340-1.D,6.14800237179694,Dimethyl sulfide,75-18-3,97689.6538761087,C2H6S,94.8194704794435,709.238841091719
310-3.D,6.14803501890313,Dimethyl sulfide,75-18-3,23654.4430909012,C2H6S,93.7895007505848,709.24192508059
278-3.D,6.14853933759755,Ethanethiol,75-08-1,14152.4288266061,C2H6S,79.2355533227303,709.289565236874
278-3.D,6.14854178327176,Borane-methyl sulfide complex,13292-87-0,14091.175573512,C2H9BS,79.2030466595182,709.289796265989
462-3.D,6.14896566002859,Dimethyl sulfide,75-18-3,74389.2169146705,C2H6S,92.783383781428,709.329837523955
310-1.D,6.14902078508232,Dimethyl sulfide,75-18-3,121826.083660993,C2H6S,97.0170377784089,709.33504487836
Aut-D129-0606.D,6.14933512446459,Dimethyl sulfide,75-18-3,19799.2735541134,C2H6S,92.7277137646828,709.364738755393
432-1.D,6.14943682103797,Dimethyl sulfide,75-18-3,27802.6733336665,C2H6S,94.4694162257299,709.37434545985
240-2.D,6.1498506839971,Dimethyl sulfide,75-18-3,43864.4098824906,C2H6S,94.2200250693384,709.413440770555
240-1.D,6.14995819965373,Dimethyl sulfide,75-18-3,41667.8041020544,C2H6S,91.7511835660513,709.423597171144
240-3.D,6.15163743433324,Dimethyl sulfide,75-18-3,19458.2749697985,C2H6S,94.1205913962878,709.582225045649
60-3.D,6.1518721751306,Borane-methyl sulfide complex,13292-87-0,12542.6093590307,C2H9BS,76.1190766277875,709.604399691158
397-3.D,6.15196969889739,Dimethyl sulfide,75-18-3,17023.1254143045,C2H6S,84.4917864217532,709.613612213999
164-2.D,6.15284202956495,Ethanethiol,75-08-1,4764.97543238656,C2H6S,76.6157318419795,709.696016395706
432-1.D,6.28854998913822,Carbonyl sulfide,463-58-1,32562.2757759321,COS,82.9054021294675,722.515585597791
340-1.D,6.68852094642437,Etilefrine,709-55-7,13346.5236827987,C10H15NO2,82.0666343292469,760.298596866084
164-2.D,6.72457937237477,2-Pentoxy-tetrahydropyran,32767-70-7,23221.6709479728,C10H20O2,79.2221899728972,763.70483396701
164-1.D,6.72769883489025,Octane,111-65-9,57119.7360816869,C8H18,93.7900784586768,763.999512081074
194-2.D,6.74467023145675,Furan,110-00-9,73109.2832174137,C4H4O,88.9886656614954,765.602704653009
194-3.D,6.74496111466635,Furan,110-00-9,44973.1119282466,C4H4O,83.1325357032476,765.630182757071
129-2.D,6.74542557070918,Furan,110-00-9,69487.4251333342,C4H4O,89.0451124002168,765.67405731241
194-1.D,6.74702519490394,Furan,110-00-9,69635.305970692,C4H4O,89.0533752821598,765.825164831281
164-2.D,6.74709753420643,Furan,110-00-9,68204.1056367068,C4H4O,87.5916368464881,765.831998319141
129-3.D,6.74713580126722,Furan,110-00-9,52199.3645991601,C4H4O,78.6255504142087,765.835613193579
99-2.D,6.74713594837665,Furan,110-00-9,92300.1439628676,C4H4O,89.7019864286757,765.835627090181
Aut-D129-0605.D,6.74727049330534,Furan,110-00-9,39468.5956808575,C4H4O,79.153265580689,765.848336794383
164-1.D,6.74730426178042,Furan,110-00-9,67419.9420728875,C4H4O,89.0204378828536,765.851526712679
462-1.D,6.74800009070314,Furan,110-00-9,158082.092702549,C4H4O,92.1155953567333,765.917257765269
68-2.D,6.7480022303266,Furan,110-00-9,72807.412518429,C4H4O,85.2956007119816,765.917459883487
462-3.D,6.74804716158337,Furan,110-00-9,149890.140916875,C4H4O,88.7511863183341,765.921704287112
60-1.D,6.74820762018095,Furan,110-00-9,71560.3042500585,C4H4O,85.787787527277,765.93686191016
68-3.D,6.74836262786481,Furan,110-00-9,43105.6767902052,C4H4O,86.3120143690694,765.951504615985
462-2.D,6.7485551385482,Furan,110-00-9,177029.839395034,C4H4O,91.2526040657186,765.969690019667
60-3.D,6.74859361205768,Furan,110-00-9,48930.2203517612,C4H4O,78.2060991707495,765.973324396154
129-1.D,6.74879217459499,Furan,110-00-9,55718.1305376643,C4H4O,84.0179727931554,765.992081484507
68-1.D,6.74880126149063,Furan,110-00-9,51680.8115987709,C4H4O,83.1174722486548,765.992939872533
432-3.D,6.74898876336787,Furan,110-00-9,194806.291202318,C4H4O,91.0299431677007,766.010652122413
340-2.D,6.7491303669966,Furan,110-00-9,202417.988940267,C4H4O,91.531606664003,766.024028622388
340-1.D,6.74956015752906,Furan,110-00-9,200809.643069264,C4H4O,91.0920733811618,766.064628521543
397-3.D,6.74967511598661,Furan,110-00-9,179667.918439946,C4H4O,91.4989678961026,766.075488001758
397-2.D,6.74979266691188,Furan,110-00-9,176158.289951314,C4H4O,91.6083730908636,766.086592377846
278-2.D,6.75004875612801,Furan,110-00-9,252301.211777433,C4H4O,90.7948670568241,766.110783688647
432-2.D,6.75029877227861,Furan,110-00-9,188851.66219502,C4H4O,91.6831658342368,766.134401311034
340-3.D,6.75050162302861,Furan,110-00-9,203466.409109884,C4H4O,90.9895806130424,766.153563482771
